Artist,Title,,URL,Service,URL Slug,Raw Title
311,All Mixed Up,,http://youtube.com/watch?v=JjTjtJDZomw,YouTube,JjTjtJDZomw,311 - All Mixed Up
311,Down,,http://youtube.com/watch?v=lYBIRHi5-o8,YouTube,lYBIRHi5-o8,311 - Down-lYBIRHi5
3 Doors Down,Kryptonite,,http://youtube.com/watch?v=xPU8OAjjS4k,YouTube,xPU8OAjjS4k,3 Doors Down - Kryptonite
69 Boyz,Tootsee Roll,,http://youtube.com/watch?v=qs7f3ssuEjA,YouTube,qs7f3ssuEjA,69 boyz - Tootsee Roll
A-ha,Take on Me,,http://youtube.com/watch?v=djV11Xbc914,YouTube,djV11Xbc914,a-ha - Take On Me (Official Video)
Ace of Base,All That She Wants,,http://youtube.com/watch?v=d73tiBBzvFM,YouTube,d73tiBBzvFM,Ace of Base - All That She Wants (Official)
Ace of Base,Beautiful Life,,http://youtube.com/watch?v=wh-07BzfgYY,YouTube,wh-07BzfgYY,Ace of Base - Beautiful Life (Official)-wh
Ace of Base,The Sign,,http://youtube.com/watch?v=iqu132vTl5Y,YouTube,iqu132vTl5Y,Ace of Base - The Sign (Official)
Aerosmith,Crazy,,http://youtube.com/watch?v=NMNgbISmF4I,YouTube,NMNgbISmF4I,Aerosmith - Crazy
Aerosmith,Janie’s Got a Gun,,http://youtube.com/watch?v=RqQn2ADZE1A,YouTube,RqQn2ADZE1A,Aerosmith - Janie's Got A Gun
Alan Jackson,Chattahoochee,,http://youtube.com/watch?v=JW5UEW2kYvc,YouTube,JW5UEW2kYvc,Alan Jackson - Chattahoochee
Alanis Morissette,Thank U,,http://youtube.com/watch?v=OOgpT5rEKIU,YouTube,OOgpT5rEKIU,Alanis Morissette - Thank U (Official Music Video)
Alice In Chains,Man in the Box,,http://youtube.com/watch?v=TAqZb52sgpU,YouTube,TAqZb52sgpU,Alice In Chains - Man in the Box (Official Video)
Animotion,Obsession,,http://youtube.com/watch?v=hIs5StN8J-0,YouTube,hIs5StN8J-0,Animotion - Obsession-hIs5StN8J
Arrested Development,Mr. Wendal,,http://youtube.com/watch?v=wyDjRd0Tjss,YouTube,wyDjRd0Tjss,Arrested Development - Mr. Wendal-wyDjRd0Tjss
Arrested Development,Tennessee,,http://youtube.com/watch?v=6VCdJyOAQYM,YouTube,6VCdJyOAQYM,Arrested Development - Tennessee-6VCdJyOAQYM
Artists United Against Apartheid,Sun City,,http://youtube.com/watch?v=TlMdYpnVOGQ,YouTube,TlMdYpnVOGQ,Artists United Against Apartheid - Sun City (Official Video)
Avril Lavigne,Complicated,,http://youtube.com/watch?v=5NPBIwQyPWE,YouTube,5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video)
Backstreet Boys,Everybody (Backstreet’s Back),,http://youtube.com/watch?v=6M6samPEMpM,YouTube,6M6samPEMpM,Backstreet Boys - Everybody (Backstreet's Back) (Official Video)
Band Aid,Do They Know It’s Christmas,,http://youtube.com/watch?v=bjQzJAKxTrE,YouTube,,
Barenaked Ladies,One Week,,http://youtube.com/watch?v=fC_q9KPczAg,YouTube,fC_q9KPczAg,Barenaked Ladies - One Week (Video)
Beastie Boys,Intergalactic,,http://youtube.com/watch?v=qORYO0atB6g,YouTube,qORYO0atB6g,Beastie Boys - Intergalactic
Beastie Boys,Sabotage,,http://youtube.com/watch?v=z5rRZdiu1UE,YouTube,z5rRZdiu1UE,Beastie Boys - Sabotage
Beck,Devils Haircut,,http://youtube.com/watch?v=aa3rBVb3v4g,YouTube,aa3rBVb3v4g,Beck - Devils Haircut
Beck,Loser,,http://youtube.com/watch?v=YgSPaXgAdzE,YouTube,YgSPaXgAdzE,Beck - Loser
Beck,The New Pollution,,http://youtube.com/watch?v=uxugaMpt1vU,YouTube,uxugaMpt1vU,Beck - The New Pollution
Belinda Carlisle,Heaven Is a Place on Earth,,http://youtube.com/watch?v=NOGEyBeoBGM,YouTube,NOGEyBeoBGM,Belinda Carlisle - Heaven Is A Place On Earth
Bell Biv DeVoe,Poison,,http://youtube.com/watch?v=sb2np1HGqxg,YouTube,sb2np1HGqxg,Bell Biv DeVoe - Poison
Belly,Feed the Tree,,http://youtube.com/watch?v=RQJjUbMrt8w,YouTube,RQJjUbMrt8w,Belly - Feed The Tree (Video)
Ben Folds Five,Army,,http://youtube.com/watch?v=Yr_s6-Q7f00,YouTube,Yr_s6-Q7f00,Ben Folds Five - Army-Yr_s6
Ben Folds Five,Brick,,http://youtube.com/watch?v=Wt5EHAqhR1c,YouTube,Wt5EHAqhR1c,Ben Folds Five - Brick
Ben Folds Five,One Angry Dwarf and 200 Solemn Faces,,http://youtube.com/watch?v=GwFBshjGe8I,YouTube,GwFBshjGe8I,Ben Folds Five - One Angry Dwarf and 200 Solemn Faces
Biz Markie,Just a Friend,,http://youtube.com/watch?v=9aofoBrFNdg,YouTube,9aofoBrFNdg,Biz Markie - Just A Friend (Official Video)
Björk,Army of Me,,http://youtube.com/watch?v=3biZkA-TNvs,YouTube,3biZkA-TNvs,Björk - Army of Me (HQ)-3biZkA
Björk,Bachelorette,,http://youtube.com/watch?v=x5nNfbTS6N4,YouTube,x5nNfbTS6N4,bjork - bachelorette
Blink-182,All the Small Things,,http://youtube.com/watch?v=9Ht5RZpzPqw,YouTube,9Ht5RZpzPqw,blink-182 - All The Small Things
Blink-182,I Miss You,,http://youtube.com/watch?v=s1tAYmMjLdY,YouTube,s1tAYmMjLdY,
Blink-182,Stay Together for the Kids,,http://youtube.com/watch?v=k1BFHYtZlAU,YouTube,k1BFHYtZlAU,blink-182 - Stay Together For The Kids
Blondie,Maria,,http://youtube.com/watch?v=VoOG7LEyUJ0,YouTube,VoOG7LEyUJ0,Maria - Blondie
Blur,Coffee and TV,,http://youtube.com/watch?v=6oqXVx3sBOk,YouTube,6oqXVx3sBOk,Blur - Coffee And TV
Blur,Song 2,,http://youtube.com/watch?v=SSbBvKaM6sk,YouTube,SSbBvKaM6sk,Blur - Song 2
Bobby Brown,My Prerogative,,http://youtube.com/watch?v=5cDLZqe735k,YouTube,5cDLZqe735k,Bobby Brown - My Prerogative
Bobby Brown feat. Whitney Houston,Something in Common,,http://youtube.com/watch?v=QlgFvYQMEBY,YouTube,QlgFvYQMEBY,Bobby Brown - Something In Common ft. Whitney Houston
Bone Thugs N Harmony,Tha Crossroads,,http://youtube.com/watch?v=o9IXAJg4Vm0,YouTube,o9IXAJg4Vm0,Bone Thugs N Harmony - Tha Crossroads (Official Video)
Bonnie Raitt,Not the Only One,,http://youtube.com/watch?v=Gw8wJQi05Ws,YouTube,Gw8wJQi05Ws,Bonnie Raitt - Not The Only One
Bow Wow Wow,Do You Wanna Hold Me,,http://youtube.com/watch?v=VDXi4yqVd9g,YouTube,VDXi4yqVd9g,
Bow Wow Wow,I Want Candy,,http://youtube.com/watch?v=aMICD3aMZpw,YouTube,aMICD3aMZpw,Bow Wow Wow - I Want Candy
Boyz II Men,Motown Philly,,http://youtube.com/watch?v=OHzkICG47LU,YouTube,OHzkICG47LU,Boyz II Men - Motown Philly
Brandy & Monica,The Boy Is Mine,,http://youtube.com/watch?v=Va1Y6uAgNJY,YouTube,Va1Y6uAgNJY,Brandy & Monica - The Boy Is Mine (1998) + Lyrics
Breeders,Cannonball,,http://youtube.com/watch?v=fxvkI9MTQw4,YouTube,fxvkI9MTQw4,
Britney Spears,...Baby One More Time,,http://youtube.com/watch?v=C-u5WLJ9Yk4,YouTube,C-u5WLJ9Yk4,Britney Spears - ...Baby One More Time-C
Britney Spears,Toxic,,http://youtube.com/watch?v=LOZuxwVk7TU,YouTube,LOZuxwVk7TU,Britney Spears - Toxic (Official Video)
Bruce Springsteen,Dancing in the Dark,,http://youtube.com/watch?v=129kuDCQtHs,YouTube,129kuDCQtHs,Bruce Springsteen - Dancing in the Dark
Busta Rhymes,Put Your Hands Where My Eyes Could See,,http://www.dailymotion.com/video/x15erl_put-your-hands-where-my-eyes-could_music,Dailymotion,x15erl,Put your hands where my eyes could see
Busta Rhymes & Mariah Carey feat. Flipmode Squad,I Know What You Want,,http://youtube.com/watch?v=WDaNJW_jEBo,YouTube,WDaNJW_jEBo,"Busta Rhymes, Mariah Carey - I Know What You Want ft. Flipmode Squad"
Butthole Surfers,Pepper,,http://youtube.com/watch?v=CO8vBVUaKvk,YouTube,CO8vBVUaKvk,Butthole Surfers - Pepper
C & C Music Factory,Everybody Dance Now,,http://youtube.com/watch?v=12VUjgYMm1U,YouTube,12VUjgYMm1U,C & C Music factory - Everybody dance now
Cake,The Distance,,http://www.dailymotion.com/video/x1kkxh_cake-the-distance_music,Dailymotion,x1kkxh,Cake - The Distance
Cake,Short Skirt / Long Jacket,,http://youtube.com/watch?v=X5KmB8Laemg,YouTube,X5KmB8Laemg,Cake - Short Skirt _ Long Jacket
Cardigans,Lovefool,,http://youtube.com/watch?v=VUodwTf8JJw,YouTube,VUodwTf8JJw,The Cardigans - Lovefool  _  Official Video  _  US Version [HD]
Cardigans,My Favourite Game,,http://youtube.com/watch?v=Qq-I4orlEhE,YouTube,Qq-I4orlEhE,The Cardigans - My Favourite Game (Official Video)-Qq
Céline Dion,It’s All Coming Back to Me Now,,http://youtube.com/watch?v=pDxoj-tDDIU,YouTube,pDxoj-tDDIU,Céline Dion - It's All Coming Back To Me Now-pDxoj
Chemical Brothers,Let Forever Be,,http://youtube.com/watch?v=s5FyfQDO5g0,YouTube,s5FyfQDO5g0,The Chemical Brothers - Let Forever Be
Chris Rock feat. Shadow,No Sex,,http://youtube.com/watch?v=j9yBPcn8IqU,YouTube,j9yBPcn8IqU,Chris Rock - No Sex ft. Shadow-j9yBPcn8IqU
Christina Aguilera,Genie in a Bottle,,http://youtube.com/watch?v=kIDWgqDBNXA,YouTube,kIDWgqDBNXA,Christina Aguilera - Genie In A Bottle
"Christina Aguilera, Pink, Mya & Lil Kim",Lady Marmalade,,http://youtube.com/watch?v=YQxEIgY6Log,YouTube,YQxEIgY6Log,"Christina Aguilera, Pink, Mya & Lil Kim - Lady Marmalade"
Cibo Matto,Sugar Water,,http://youtube.com/watch?v=EN9auBn6Jys,YouTube,EN9auBn6Jys,Cibo Matto - Sugar Water (Video)
Civ,Can’t Wait One Minute More,,http://youtube.com/watch?v=ngZXgBH7v9c,YouTube,ngZXgBH7v9c,Civ 'Can't Wait One Minute More' Video
Color Me Badd,I Wanna Sex You Up,,http://youtube.com/watch?v=kO6BtpIzIiM,YouTube,kO6BtpIzIiM,Color Me Badd - I Wanna Sex You Up
Coolio,1 2 3 4 (Sumpin’ New),,http://youtube.com/watch?v=OwU32Fa_Mko,YouTube,OwU32Fa_Mko,Coolio - 1 2 3 4 (Sumpin New) (Explicit)
Cornershop,Brimful of Asha,,http://youtube.com/watch?v=lM7H0ooV_o8,YouTube,lM7H0ooV_o8,Cornershop - Brimful of Asha - Official Music Video (Original) (Tjinder Singh)
Counting Crows,Mr. Jones,,http://youtube.com/watch?v=-oqAU5VxFWs,YouTube,-oqAU5VxFWs,Counting Crows - Mr. Jones-
Cranberries,Dreams,,http://youtube.com/watch?v=tONsedTRCD4,YouTube,tONsedTRCD4,The Cranberries - Dreams (Original Version)
Crash Test Dummies,Mmm Mmm Mmm Mmm ,,http://youtube.com/watch?v=1I-dwO-Qu0E,YouTube,1I-dwO-Qu0E,Mmm Mmm Mmm Mmm  -  Crash Test Dummies  (HQ Audio)-1I-dwO-Qu0E
Crazy Town,Butterfly,,http://www.dailymotion.com/video/x1ex8q_crazy-town-butterfly-music-video_music,Dailymotion,x1ex8q,Crazy Town - Butterfly - Music Video
Crowded House,Don’t Dream It’s Over,,http://youtube.com/watch?v=J9gKyRmic20,YouTube,J9gKyRmic20,Crowded House - Don't Dream It's Over
Culture Club,Do You Really Want to Hurt Me,,http://youtube.com/watch?v=2nXGPZaTKik,YouTube,2nXGPZaTKik,Culture Club - Do You Really Want To Hurt Me
Cyndi Lauper,She Bop,,http://youtube.com/watch?v=KFq4E9XTueY,YouTube,KFq4E9XTueY,Cyndi Lauper - She Bop
Cyndi Lauper,Time After Time,,http://youtube.com/watch?v=VdQY7BusJNU,YouTube,VdQY7BusJNU,Cyndi Lauper - Time After Time
Cyndi Lauper,True Colors,,http://youtube.com/watch?v=LPn0KFlbqX8,YouTube,LPn0KFlbqX8,Cyndi Lauper - True Colors
Daft Punk,Da Funk,,http://youtube.com/watch?v=mmi60Bd4jSs,YouTube,mmi60Bd4jSs,Daft Punk - Da Funk
Dandy Warhols,Not If You Were the Last Junkie on Earth,,http://youtube.com/watch?v=APrpB-i4d_E,YouTube,APrpB-i4d_E,The Dandy Warhols - Not If You Were The Last Junkie On Earth-APrpB
David Bowie,I’m Afraid of Americans,,http://youtube.com/watch?v=gPVrFIP0CMs,YouTube,gPVrFIP0CMs,David Bowie - I'm Afraid of Americans (HD)
De La Soul,"Me, Myself and I",,http://youtube.com/watch?v=FJEzEDMqXQQ,YouTube,FJEzEDMqXQQ,"De La Soul - Me, Myself And I [Official Video HD]"
Dead Or Alive,You Spin Me Round,,http://youtube.com/watch?v=PGNiXGX2nLU,YouTube,PGNiXGX2nLU,Dead Or Alive - You Spin Me Round (Like a Record)
Deee-Lite ,Groove Is in the Heart,,http://youtube.com/watch?v=gzoEK545j64,YouTube,gzoEK545j64,Deee-Lite  - 'Groove Is In The Heart'  (Official Music Video)
Des'ree,You Gotta Be,,https://vimeo.com/62414941,Vimeo,62414941,Des'ree - You Gotta Be (Video)
Diamond Rio,Meet in the Middle,,http://youtube.com/watch?v=qWKpCmPdGmM,YouTube,qWKpCmPdGmM,Diamond Rio - Meet In The Middle
Digital Undergound,Humpty Dance,,http://youtube.com/watch?v=cj9_yW8tZxs,YouTube,cj9_yW8tZxs,Digital Undergound 'Humpty Dance' ‌‌ - Bohemia After Dark-cj9_yW8tZxs
Dire Straits,Money for Nothing,,http://youtube.com/watch?v=lAD6Obi7Cag,YouTube,lAD6Obi7Cag,"Dire Straits - Money For Nothing music video (Good quality, all countries)"
Dishwalla,Counting Blue Cars,,http://youtube.com/watch?v=Clxtg2pFTQM,YouTube,Clxtg2pFTQM,Dishwalla - Counting Blue Cars
DJ Jazzy Jeff & The Fresh Prince,Parents Just Don't Understand,,http://youtube.com/watch?v=jW3PFC86UNI,YouTube,jW3PFC86UNI,DJ Jazzy Jeff & The Fresh Prince - Parents Just Don't Understand-jW3PFC86UNI
DMX,Party Up (Up in Here),,http://youtube.com/watch?v=thIVtEOtlWM,YouTube,thIVtEOtlWM,DMX - Party Up (Up In Here)-thIVtEOtlWM
Dolly Parton,Jolene,,http://youtube.com/watch?v=1plvBR02wDs,YouTube,1plvBR02wDs,Dolly Parton -- Jolene
Donna Lewis,I Love You Always Forever,,http://youtube.com/watch?v=SqdWTeXWvOg,YouTube,SqdWTeXWvOg,Donna Lewis - I Love You Always Forever (Official Video)
Donnas,Take It Off,,http://youtube.com/watch?v=nCvRT2sy5FE,YouTube,nCvRT2sy5FE,The Donnas - Take It Off (Video) Album Version audio
"Dr. Dre feat. Snoop Dogg, Kurupt, Nate Dogg",The Next Episode,,http://youtube.com/watch?v=QZXc39hT8t4,YouTube,QZXc39hT8t4,"Dr. Dre - The Next Episode ft. Snoop Dogg, Kurupt, Nate Dogg-QZXc39hT8t4"
Duran Duran,Rio,,http://youtube.com/watch?v=e3W6yf6c-FA,YouTube,e3W6yf6c-FA,Duran Duran - Rio-e3W6yf6c
E-40,Tell Me When to Go,,http://youtube.com/watch?v=2GZbaXdK8Js,YouTube,2GZbaXdK8Js,E-40 - Tell Me When To Go (Main Version w_ Intro)
Eagle-Eye Cherry,Save Tonight,,http://youtube.com/watch?v=Nntd2fgMUYw,YouTube,Nntd2fgMUYw,Eagle-Eye Cherry - Save Tonight
Edie Brickell & New Bohemians,What I Am,,http://youtube.com/watch?v=tDl3bdE3YQA,YouTube,tDl3bdE3YQA,Edie Brickell & New Bohemians - What I Am
Edwin McCain,I’ll Be,,http://youtube.com/watch?v=OWqLtXXzldk,YouTube,OWqLtXXzldk,I'll Be (Official Music Video) - Edwin McCain
Edwyn Collins,A Girl Like You,,http://youtube.com/watch?v=nkKxGzm98AU,YouTube,nkKxGzm98AU,Edwyn Collins 'A Girl Like You' directed by Gavin Evans
Elastica,Car Song,,http://youtube.com/watch?v=djjw3BKUV28,YouTube,djjw3BKUV28,Elastica - Car Song
Elastica,Connection,,http://youtube.com/watch?v=gY2s4hJ8kuA,YouTube,gY2s4hJ8kuA,Elastica - Connection _HD
Elastica,Connection (Alternate),,http://youtube.com/watch?v=ilKcXIFi-Rc,YouTube,ilKcXIFi-Rc,Elastica - Connection-ilKcXIFi
Elvis Costello,Everyday I Write the Book,,http://youtube.com/watch?v=jfFunjzyIsE,YouTube,jfFunjzyIsE,Elvis Costello  1983  Everyday I Write the Book
EMF,Unbelievable,,https://vimeo.com/78548198,Vimeo,78548198,EMF   Unbelievable
Eminem,My Name Is,,http://youtube.com/watch?v=sNPnbI1arSE,YouTube,sNPnbI1arSE,Eminem - My Name Is
En Vogue,My Lovin' (You're Never Gonna Get It),,http://youtube.com/watch?v=Xpugp6DIb3I,YouTube,Xpugp6DIb3I,En Vogue - My Lovin' (You're Never Gonna Get It) (1992)-Xpugp6DIb3I
Enya,Orinoco Flow,,http://youtube.com/watch?v=LTrk4X9ACtw,YouTube,LTrk4X9ACtw,Enya - Orinoco Flow (video)
Eurythmics,Sweet Dreams,,http://youtube.com/watch?v=qeMFqkcPYcg,YouTube,qeMFqkcPYcg,Eurythmics - Sweet Dreams (Are Made Of This) (Official Video)
Evanescence,Bring Me to Life,,http://youtube.com/watch?v=3YxaaGgTQYM,YouTube,3YxaaGgTQYM,Evanescence - Bring Me To Life
Eve 6,Inside Out,,http://youtube.com/watch?v=T8Xb_7YDroQ,YouTube,T8Xb_7YDroQ,Eve 6 - Inside Out
Everclear,Everything to Everyone,,http://youtube.com/watch?v=D1vQJFF2TKQ,YouTube,D1vQJFF2TKQ,Everclear - Everything To Everyone
Everclear,Father of Mine,,http://youtube.com/watch?v=kkcbxjWG9Mc,YouTube,kkcbxjWG9Mc,Everclear - Father Of Mine
Everclear,I Will Buy You a New Life,,http://youtube.com/watch?v=W05cPXpUHGI,YouTube,W05cPXpUHGI,Everclear - I Will Buy You A New Life
Everclear,Santa Monica,,http://youtube.com/watch?v=MW6E_TNgCsY,YouTube,MW6E_TNgCsY,Everclear - Santa Monica
Everlast,What It’s Like,,http://youtube.com/watch?v=vCZ1YteCv5M,YouTube,vCZ1YteCv5M,Everlast - What Its Like-vCZ1YteCv5M
Faith No More,Epic,,http://youtube.com/watch?v=ZG_k5CSYKhg,YouTube,ZG_k5CSYKhg,Faith No More - Epic (Official Music Video)-ZG_k5CSYKhg
Fastball,Out of My Head,,http://youtube.com/watch?v=Wd2aeZhu9xY,YouTube,Wd2aeZhu9xY,Fastball - Out Of My Head
Fastball,The Way,,http://youtube.com/watch?v=b0wfu3tOrtQ,YouTube,b0wfu3tOrtQ,Fastball - The Way-b0wfu3tOrtQ
Fatboy Slim,Praise You,,http://youtube.com/watch?v=ruAi4VBoBSM,YouTube,ruAi4VBoBSM,Fatboy Slim - Praise You [Official Video]
Fine Young Cannibals,She Drives Me Crazy,,http://youtube.com/watch?v=0sw54Pdh_m8,YouTube,0sw54Pdh_m8,Fine Young Cannibals - She Drives Me Crazy (1989)
Fiona Apple,Criminal,,http://youtube.com/watch?v=FFOzayDpWoI,YouTube,FFOzayDpWoI,Fiona Apple - Criminal
Fiona Apple,Never Is a Promise,,http://youtube.com/watch?v=c5XptSCCciU,YouTube,c5XptSCCciU,Fiona Apple - Never Is A Promise
Fiona Apple,Paper Bag,,http://youtube.com/watch?v=BK30r_SIZ-g,YouTube,BK30r_SIZ-g,Fiona Apple - Paper Bag-BK30r_SIZ
Foo Fighters,Big Me,,http://youtube.com/watch?v=pLdJQFTnZfA,YouTube,pLdJQFTnZfA,Foo Fighters - Big Me
Foo Fighters,Everlong,,http://youtube.com/watch?v=eBG7P-K-r1Y,YouTube,eBG7P-K-r1Y,Foo Fighters - Everlong-eBG7P-K
